,user_id,event_id,event_name,clicks_count
68424,1bbd0c8c42b14fc9cb4c0f0d16143edd,1266207,Спектакль «Миллионерша»,1
68662,1bd54573e05ad5b2d77788ba7b95bd4d,1238490,Спектакль «Поэт. Есенин»,1
68821,1be9f3c0d955f604a744f8e924f16d93,328186,Мюзикл «Последний секрет Шахерезады»,2
68822,1be9f3c0d955f604a744f8e924f16d93,483340,Спектакль «Книга джунглей»,1
68823,1be9f3c0d955f604a744f8e924f16d93,1335580,Экскурсия по наклонной башне Демидовых,1
68824,1be9f3c0d955f604a744f8e924f16d93,1378388,"Лекция «На той далекой, на гражданской»",1
68879,1bf04936f34a070a1a6e65cd5e6d54aa,1290759,Опера «Русалка»,1
68998,1bff8153d90d325dfe6c6f3e0d909f71,1349578,Спектакль «www.силиконовая дура.net»,2
68999,1bff8153d90d325dfe6c6f3e0d909f71,1366726,Спектакль «Отцы и дети»,1
69353,1c24bd7b869fdb2c0fe9c5d6016388c3,1014770,Спектакль «Близость»,1
69354,1c24bd7b869fdb2c0fe9c5d6016388c3,1238765,Спектакль «Вий»,1
69355,1c24bd7b869fdb2c0fe9c5d6016388c3,1238810,Спектакль «Кроткая»,4
69365,1c26ad38bf597fa5a075fbd2fba0a4e8,1286231,Спектакль «Одолжите тенора»,1
69366,1c26ad38bf597fa5a075fbd2fba0a4e8,1340782,Балет «Жизель»,1
69506,1c31c10ecf5c81b88c9f01abf5a0fe21,1322382,Спектакль «Мертвые души»,1
69541,1c3518f5b5ff81f8ec7fd48f7970b5da,1344010,Спектакль «Барышня-крестьянка»,3
69542,1c3518f5b5ff81f8ec7fd48f7970b5da,1353023,Концерт Jazzabelle,1
69543,1c3518f5b5ff81f8ec7fd48f7970b5da,1389922,Опера «Евгений Онегин»,1
69544,1c3518f5b5ff81f8ec7fd48f7970b5da,1392594,Спектакль «Снеговик»,1
69579,1c3bd39bf449963c4386aca8eff01703,1340822,Опера «Турандот»,1
69796,1c52b9d57a9144a415d9100579c2e3fe,1237397,Выставка «Антика. Западноевропейское искусство XV – начала XX века»,2
69797,1c52b9d57a9144a415d9100579c2e3fe,1238882,Спектакль «Тетушка Чарли»,1
69798,1c52b9d57a9144a415d9100579c2e3fe,1242499,Экспозиции Музея истории Екатеринбурга,3
69799,1c52b9d57a9144a415d9100579c2e3fe,1245115,Спектакль «Алые паруса»,1
70007,1c69050154f278ceebcd30baab04d110,1286178,Спектакль «Пиковая дама»,1
70020,1c6c5d7aa7f3473e1fb11f3573dcb3b2,1238765,Спектакль «Вий»,1
70352,1c944b02b686a80de83829f35d98e90d,1238882,Спектакль «Тетушка Чарли»,1
70456,1c9e67a1e4510757f030085f8022f288,1232257,Спектакль «Мастер и Маргарита»,1
70457,1c9e67a1e4510757f030085f8022f288,1264708,Спектакль «Гробовщик»,1
70458,1c9e67a1e4510757f030085f8022f288,1264940,Спектакль «Волки и овцы»,1
70459,1c9e67a1e4510757f030085f8022f288,1322382,Спектакль «Мертвые души»,1
70460,1c9e67a1e4510757f030085f8022f288,1331431,Спектакль «Республика ШКИД»,2
70461,1c9e67a1e4510757f030085f8022f288,1366726,Спектакль «Отцы и дети»,1
70484,1ca035926ae8e703df968674591a0bf4,1340879,Опера «Пиковая дама»,1
70485,1ca035926ae8e703df968674591a0bf4,1389922,Опера «Евгений Онегин»,1
70552,1cacee181ade2e052a4e4c415ea7583d,1331382,Спектакль «Вдовий пароход»,1
70553,1cacee181ade2e052a4e4c415ea7583d,1339113,Спектакль «Парк советского периода»,2
70554,1cacee181ade2e052a4e4c415ea7583d,1350551,Концерт «Рапсодия в стиле рок»,1
70769,1cc128abec8d8bfd2c08fe5381c9de3e,1245070,Балет «Тщетная предосторожность»,1
70770,1cc128abec8d8bfd2c08fe5381c9de3e,1340782,Балет «Жизель»,2
70771,1cc128abec8d8bfd2c08fe5381c9de3e,1393712,Балет «Приказ короля»,1
71036,1cd5f06de9bfc9d70315884c9f26462e,1380540,Спектакль «Дикое счастье»,1
71037,1cd5f06de9bfc9d70315884c9f26462e,1393712,Балет «Приказ короля»,2
71038,1cd5f06de9bfc9d70315884c9f26462e,1402822,Спектакль «Зойкина квартира»,1
71064,1cd9e015d28f870b75997f07163170a8,1326636,Постоянная экспозиция Художественного музея Эрнста Неизвестного,1
71140,1ce1ce680b0f871e202d0a3acccdfe3a,1335375,Выставка открытого хранения фондов техники,1
71204,1ce67e594554857cf4b1adf3ef335e91,1316011,Спектакль «Черт и девственница»,1
71299,1cf5cf71f49cf2d6b94d4487b70d604b,1256148,"Спектакль «Город, создающий облака»",1
71300,1cf5cf71f49cf2d6b94d4487b70d604b,1380428,Спектакль «О любви»,1
71301,1cf5cf71f49cf2d6b94d4487b70d604b,1380542,Вишнёвый сад,4
71332,1cf8304a212018699cdbe649afa46055,1062895,Мюзикл «Монте-Кристо. Я – Эдмон Дантес»,1
71336,1cf8e52048266836198f4c53af51397c,1406027,Концерт «Вокальная классика»,1
71409,1cfed1db573346c4bc4735bb9143ce76,1236927,Спектакль «Тётка Чарли»,1
71410,1cfed1db573346c4bc4735bb9143ce76,1267029,Спектакль «Скрипач на крыше»,5
71411,1cfed1db573346c4bc4735bb9143ce76,1366600,Спектакль «Дни Турбиных»,1
71412,1cfed1db573346c4bc4735bb9143ce76,1368198,Концерт «Под небом Парижа»,1
71413,1cfed1db573346c4bc4735bb9143ce76,1393520,Опера «Граф Ори»,1
71414,1cfed1db573346c4bc4735bb9143ce76,1402725,Спектакль «Тетки»,1
71511,1d0454d4cd2dc04c93983c5b618d6653,1266207,Спектакль «Миллионерша»,1
71512,1d0454d4cd2dc04c93983c5b618d6653,1334190,Выставка «Игра в метафору»,1
71513,1d0454d4cd2dc04c93983c5b618d6653,1344165,Спектакль «Стил гот the блюз»,1
71519,1d05ad462259880edd166ad34d2ed943,1276361,Спектакль «А зори здесь тихие»,1
71684,1d140d7b799d70a4c55d93bd1f3be37b,1264968,Выставка «От романтизма к импрессионизму. Французская живопись и скульптура XIX века»,3
71776,1d1ddade9e7381e526c371ce7b66b583,1143514,Спектакль «Только для женщин»,1
71777,1d1ddade9e7381e526c371ce7b66b583,1232906,Спектакль «Пролетая над гнездом кукушки»,1
71778,1d1ddade9e7381e526c371ce7b66b583,1238543,Спектакль «Марьино поле»,1
71779,1d1ddade9e7381e526c371ce7b66b583,1238577,Спектакль «Человек на часах»,1
71780,1d1ddade9e7381e526c371ce7b66b583,1238603,Спектакль «Хомо чудикус»,1
71781,1d1ddade9e7381e526c371ce7b66b583,1238765,Спектакль «Вий»,1
71782,1d1ddade9e7381e526c371ce7b66b583,1238810,Спектакль «Кроткая»,1
71783,1d1ddade9e7381e526c371ce7b66b583,1238882,Спектакль «Тетушка Чарли»,1
71784,1d1ddade9e7381e526c371ce7b66b583,1238933,Спектакль «Магнит»,1
71785,1d1ddade9e7381e526c371ce7b66b583,1266207,Спектакль «Миллионерша»,1
71786,1d1ddade9e7381e526c371ce7b66b583,1331382,Спектакль «Вдовий пароход»,1
71787,1d1ddade9e7381e526c371ce7b66b583,1331431,Спектакль «Республика ШКИД»,1
71788,1d1ddade9e7381e526c371ce7b66b583,1339113,Спектакль «Парк советского периода»,1
71789,1d1ddade9e7381e526c371ce7b66b583,1344010,Спектакль «Барышня-крестьянка»,1
71790,1d1ddade9e7381e526c371ce7b66b583,1344091,Спектакль «Лондонский треугольник»,1
71791,1d1ddade9e7381e526c371ce7b66b583,1349663,Спектакль C'est la vie,1
71792,1d1ddade9e7381e526c371ce7b66b583,1353022,Спектакль «Босса снова»,2
71793,1d1ddade9e7381e526c371ce7b66b583,1353023,Концерт Jazzabelle,2
71794,1d1ddade9e7381e526c371ce7b66b583,1366624,"Спектакль «Не боюсь, что люблю»",1
71795,1d1ddade9e7381e526c371ce7b66b583,1366726,Спектакль «Отцы и дети»,1
71796,1d1ddade9e7381e526c371ce7b66b583,1368168,Спектакль «Ночь открытых дверей»,1
71797,1d1ddade9e7381e526c371ce7b66b583,1368198,Концерт «Под небом Парижа»,1
71798,1d1ddade9e7381e526c371ce7b66b583,1375601,Cпектакль «Маленькая серенада»,2
71799,1d1ddade9e7381e526c371ce7b66b583,1393712,Балет «Приказ короля»,2
71800,1d1ddade9e7381e526c371ce7b66b583,1402569,Спектакль «Двенадцатая ночь»,1
71801,1d1ddade9e7381e526c371ce7b66b583,1402636,Спектакль «Соловей»,1
71802,1d1ddade9e7381e526c371ce7b66b583,1402725,Спектакль «Тетки»,1
71831,1d226ffc7ddf8ebd0823db7f482355ec,1232257,Спектакль «Мастер и Маргарита»,3
71832,1d226ffc7ddf8ebd0823db7f482355ec,1232906,Спектакль «Пролетая над гнездом кукушки»,1
71833,1d226ffc7ddf8ebd0823db7f482355ec,1238686,Концерт «Саксофон Drive»,3
71834,1d226ffc7ddf8ebd0823db7f482355ec,1238882,Спектакль «Тетушка Чарли»,1
71835,1d226ffc7ddf8ebd0823db7f482355ec,1322382,Спектакль «Мертвые души»,1
71836,1d226ffc7ddf8ebd0823db7f482355ec,1331382,Спектакль «Вдовий пароход»,4
71837,1d226ffc7ddf8ebd0823db7f482355ec,1366726,Спектакль «Отцы и дети»,1
71838,1d226ffc7ddf8ebd0823db7f482355ec,1402822,Спектакль «Зойкина квартира»,2
71839,1d226ffc7ddf8ebd0823db7f482355ec,1455918,Концерт «Баттл духовых оркестров»,1
