,user_id,event_id,event_name,clicks_count
361603,9292772a8ef1fae5dd101a35b285f05e,1437330,Концерт Алексея Набиулина,2
361604,9292772a8ef1fae5dd101a35b285f05e,1457921,Концерт «Снежный драйв»,2
362018,92b990415aaa03ace88f93d116f5f3b7,798692,Экскурсия «Призрак оперы приглашает»,2
362019,92b990415aaa03ace88f93d116f5f3b7,1244781,Спектакль «Полет над гнездом кукушки»,1
362053,92bcf2b2caedef643ae7fb93c1a3c25b,1321047,Спектакль «Романтики»,1
362054,92bcf2b2caedef643ae7fb93c1a3c25b,1321276,Спектакль «Бешеные деньги»,2
362055,92bcf2b2caedef643ae7fb93c1a3c25b,1360380,Спектакль «Лодочник»,2
362199,92cb811873a7458ad1acab5f8e16d87f,97445,Спектакль «Ося»,1
362200,92cb811873a7458ad1acab5f8e16d87f,1407222,Спектакль «Оливер Твист»,2
362281,92d5b90968b41f536b46fdc294758797,1262060,Балет «Три маски короля»,1
362282,92d5b90968b41f536b46fdc294758797,1262107,Балет «Жизель»,1
362654,92fb618a64e8e119d526d5c56b2d7582,1233340,Спектакль «Женитьба»,3
362684,92fdafaf9890f57219cba0f0f86bb37d,1245942,Спектакль «Карамазовы»,1
362752,9306d52489aeb13c679a9f47885868ab,57846,Спектакль «Странная миссис Сэвидж»,1
362753,9306d52489aeb13c679a9f47885868ab,1244908,Спектакль «Корсиканка»,1
362852,9310da33787cf76a6633865ff68e5099,97445,Спектакль «Ося»,1
362853,9310da33787cf76a6633865ff68e5099,893186,Спектакль «Элья и Маргарита»,1
362878,931379f917046752e821899f82fd2a99,1320872,Спектакль «Хапун»,1
363003,931e326e647ea41594f6644bef01deb4,1351342,Выставка «Учитесь видеть красоту!»,1
363128,932c664cdec94e0641a42e973165ce18,24729,Балет «Лебединое озеро»,2
363289,933ac29f88491715b36d54722156b839,57846,Спектакль «Странная миссис Сэвидж»,1
363290,933ac29f88491715b36d54722156b839,472495,Спектакль «Касатка»,2
363291,933ac29f88491715b36d54722156b839,798692,Экскурсия «Призрак оперы приглашает»,1
