,user_id,event_id,event_name,clicks_count
3921,01a7fc9a4ac17d8263597f7d959052bb,1430127,Музейная лаборатория «Батерфляриум»,1
4028,01b1b373f806fa6404c23fe4d9d2a42e,1241869,Программа «Праздник нечисти «Баба-яга 2.1»,2
4029,01b1b373f806fa6404c23fe4d9d2a42e,1430097,Выставка «Живые тропические бабочки»,1
4030,01b1b373f806fa6404c23fe4d9d2a42e,1458446,Концерт «Мы любим оперу»,1
4092,01b9f10d16e55b473294a2f85d086ad0,1006785,Спектакль «Игрок»,1
4093,01b9f10d16e55b473294a2f85d086ad0,1244129,Экскурсия «Кузбасс и Великий Сибирский путь»,1
4094,01b9f10d16e55b473294a2f85d086ad0,1244272,Космический музейный урок «К полету готов!»,1
4167,01c38bff551df834fe2261001a447466,1356304,Выставка «Дети галактики»,1
4193,01c4b3477c5fe6ce1d43db3972ae02e3,1309995,Концерт «Евгений Онегин» (semi-stage версия),1
4560,01e4135625c4686060ac81807a7f0991,1354824,Балет «Лебединое озеро»,1
4561,01e4135625c4686060ac81807a7f0991,1384827,Интерактивная экскурсия по выставке «Дети галактики»,3
4574,01e4bf3e5ecb7c6e58a2a26be566eacb,1431845,Спектакль «История от Матвея»,4
4670,01ecc1a6a2030df94ab9678b1df8af23,1428216,Выставка «Разноцветье»,1
4671,01ecc1a6a2030df94ab9678b1df8af23,1430012,Выставка «Город родной – мастеровой»,1
4736,01f41bdf610f61bb6eec79b88680d89e,1241869,Программа «Праздник нечисти «Баба-яга 2.1»,1
4950,020698f267e4e2bc9ba85acf1eda4d64,1384827,Интерактивная экскурсия по выставке «Дети галактики»,1
4951,020698f267e4e2bc9ba85acf1eda4d64,1421259,Спектакль «Анна Каренина»,1
4952,020698f267e4e2bc9ba85acf1eda4d64,1431845,Спектакль «История от Матвея»,1
5115,02189dea7ed40acfddeaf884132ce41f,188744,Спектакль «Летние осы кусают нас даже в ноябре»,4
5227,022619b864fa1c103ad8113fdd84f45a,1257326,Спектакль «Палачи»,3
5228,022619b864fa1c103ad8113fdd84f45a,1453678,Спектакль «Ночь перед Рождеством»,1
5354,02383c372dc0531ddfd1d571a7c11e39,1431874,Спектакль «Страсти по Федору»,1
5391,023b1ef15d625c39a647a7876e7629f5,1242929,Спектакль «Гробовщик»,3
5421,02403a7576410445958700a11a92ae5c,1356304,Выставка «Дети галактики»,3
5644,02548294de059d9bde81074e80dfb470,1405064,Мюзикл «Рок»,5
5763,0263519c8f35970597b00bf15e7f6961,217338,Спектакль «Вишневый сад»,1
5764,0263519c8f35970597b00bf15e7f6961,1242525,Спектакль «Гедда Габлер»,1
5953,027a6a2bd4374061d1e85bd7e5b12cad,430910,Спектакль «Альпийская баллада»,1
5954,027a6a2bd4374061d1e85bd7e5b12cad,462843,Спектакль «Пиковая дама»,1
6063,0284e4883b34a4f6e8d06253bef31bba,1245013,Выставка «Вторжение динозавров»,7
6064,0284e4883b34a4f6e8d06253bef31bba,1346221,Спектакль «Шикарная свадьба»,1
6715,02c92cf2e9e8c994605cb0768dfa852f,594579,Спектакль «Лолита»,1
6748,02cad8f420dfb367e10452fdb03bca2d,1241869,Программа «Праздник нечисти «Баба-яга 2.1»,1
6749,02cad8f420dfb367e10452fdb03bca2d,1322219,Концерт «Немецкий дух органный»,1
6750,02cad8f420dfb367e10452fdb03bca2d,1445350,Концерт «Русские пряники»,1
6856,02d3a33aa6ef4b89b62fc319288d6bc7,1241869,Программа «Праздник нечисти «Баба-яга 2.1»,2
6857,02d3a33aa6ef4b89b62fc319288d6bc7,1245570,Выставка «Как Россия прирастала Кузбассом»,3
6858,02d3a33aa6ef4b89b62fc319288d6bc7,1402848,Интеллектуальный квест,1
6932,02d9cfaae74dac68a66a2e8303ff9431,1338770,Спектакль «Поздняя любовь»,1
6933,02d9cfaae74dac68a66a2e8303ff9431,1338885,Спектакль «Женитьба»,1
