,user_id,event_id,event_name,clicks_count
293778,775b0351cc76c512a8a561132a9a2758,1440381,Спектакль-перформанс «Достоевский»,6
293844,7763b7227630d2031155dea9332f8207,1338855,Оперетта «Веселая вдова»,1
294025,77733da35a23a967384a856dc0c96c23,1388127,Спектакль «Жанна. Дальше будет новый день»,3
294129,777e61c7b5c2699f2be1fe3c4a6c8eea,1339180,Экскурсия «Жизнь и деятельность Ахмет-Заки Валиди»,1
294208,7783e9f89e1ad5eb425d30f1742bda18,1394554,Опера «Дон Кихот»,1
294474,779e9d20142fdfad19cb4cef9b7c4883,735316,Спектакль «Герцогиня.G»,1
294567,77a64cdc1692186174090047ca0eb554,1396685,Лекторийный концерт «Знакомство с танцами разных народов мира»,3
294688,77b61337054158f4a430817ec8bd4413,362561,Спектакль «Смерть Тарелкина»,1
294689,77b61337054158f4a430817ec8bd4413,1294454,Спектакль «Преступление и наказание»,1
294690,77b61337054158f4a430817ec8bd4413,1308029,Полнокупольная программа «Созвездия»,1
294691,77b61337054158f4a430817ec8bd4413,1331520,Полнокупольная программа «Владения света»,1
294692,77b61337054158f4a430817ec8bd4413,1394563,Новогодний гала-концерт,1
294969,77d33c92aad697973d47a636edac5370,1257579,Спектакль «Game over. Конец игры»,1
295137,77e664b16ea8c4cb295dc07afa250ae4,1266006,Спектакль «Счастье»,1
295138,77e664b16ea8c4cb295dc07afa250ae4,1388454,Спектакль «Шахтер»,2
295291,77f7385f5fd28166480ec1324af2b73a,1291293,Спектакль «Цена счастья»,1
295368,78019c6d3e2deffae8770db38e5e3ef1,1470464,Игра «Поле чудес»,1
295428,78081dbd0d923a340eec81438a47f1a3,1231312,Спектакль «Недоросль»,2
295429,78081dbd0d923a340eec81438a47f1a3,1333955,Полнокупольная программа «Неукротимая планета»,1
295430,78081dbd0d923a340eec81438a47f1a3,1419664,Мастер-класс «Керамика: гончарный круг»,1
295458,780b0f2e1595ed1247351320eed587eb,1231163,Спектакль «Ужин с дураком»,2
295459,780b0f2e1595ed1247351320eed587eb,1418320,Концерт «Соединяя века»,1
295566,781228b3d0bedb64345ecc2ccb2026ee,1235260,Спектакль «Амеля»,6
295799,782ee584cc5867c6fa930073c5269099,1307844,Полнокупольная программа «Невидимая мощь Вселенной»,2
296056,784ff7ee2a83e594e288a41ddc3a1362,1433021,Выставка «Башкир из Кузяна»,1
296126,785834613c09311c17ce05b6b7f799b4,1458679,"Спектакль «Что там, за холмом?»",3
296232,78644347cf4c205eec08a1cee8220426,1450293,Спектакль «Анна Франк»,1
296310,786de2824f50af0151699774c20cf8d2,1370190,Экскурсия в музее М. Г. Гареева,1
296341,78733ac96dd49166dc1fd4f25926cbc2,1326271,Виртуальная экскурсия «Старый Стерлитамак. Окно в прошлое»,1
296342,78733ac96dd49166dc1fd4f25926cbc2,1385039,Экскурсия «Здесь делалось железо высшей пробы...»,2
296367,7876c09c2f5a811b9f0c3c3ca3db4ad2,613205,Спектакль «Синяя птица»,1
296775,78a283f8de302fc444b7961187cac500,1438660,Концерт «Танцы народов мира»,2
296819,78a8a9586e24bb5196b7a5ee3e1d01fe,855200,Спектакль «Щелкунчик»,2
296820,78a8a9586e24bb5196b7a5ee3e1d01fe,1330275,Балет «Лебединое озеро»,2
296870,78af7054fa2e73530c7ee00f64529ebb,921473,Спектакль «Ромео и Джульетта»,2
296985,78bb789cd2a2360d05dd515cd3ad9e55,1268584,Спектакль «Дюймовочка и принц»,1
297002,78be86f93e0783c30c96593695eda5d1,226677,Спектакль «Макбет»,4
297092,78c7c35338b06173082cc64c30644c40,613205,Спектакль «Синяя птица»,3
297114,78ca20d0539098576dbe419ce83e764b,1231312,Спектакль «Недоросль»,2
297115,78ca20d0539098576dbe419ce83e764b,1231331,Спектакль «Сокровища Медной горы»,2
297116,78ca20d0539098576dbe419ce83e764b,1399259,Проект «Театральная среда. Читаем новую драму. «Замыкание»,6
297117,78ca20d0539098576dbe419ce83e764b,1431725,Спектакль «Республика»,2
297213,78d6d6828500ec355c752ef0f159abff,1294454,Спектакль «Преступление и наказание»,1
297226,78d83e33fc2f45efb71d784b4f411829,1388127,Спектакль «Жанна. Дальше будет новый день»,5
297314,78db6afec6b8a7924a5a8073e93ed6ba,226666,Спектакль «Руслан и Людмила»,1
297315,78db6afec6b8a7924a5a8073e93ed6ba,1231163,Спектакль «Ужин с дураком»,1
297316,78db6afec6b8a7924a5a8073e93ed6ba,1250233,Спектакль «Доходное место»,1
297351,78e0c2a927757c9ad4606731dfc33cd5,1374612,Мастер-класс по росписи деревянной матрешки,3
297427,78e9bf75bfc9f59064c462c83904bf03,1455370,Программа «Юбилейный Октябрьский»,1
297468,78eb919fbd76527e847d619c0b60142e,1288671,Программа «Неделя знаний»,4
297469,78eb919fbd76527e847d619c0b60142e,1337596,Лекторий «Полярный и Приполярный Урал глазами путешественника Олега Чегодаева»,1
297470,78eb919fbd76527e847d619c0b60142e,1348929,Обзорная экскурсия по Музею полярников им. В. И. Альбанова,6
297491,78ed59e81dd0e7bc93e5f1a429368047,855200,Спектакль «Щелкунчик»,1
297493,78ed59e81dd0e7bc93e5f1a429368047,1330275,Балет «Лебединое озеро»,1
297521,78efd7b540a808b19c20622a5aad3359,1335245,Спектакль «Сон в летнюю ночь»,1
297776,79063521179378a994a66d64b90d4b58,1326271,Виртуальная экскурсия «Старый Стерлитамак. Окно в прошлое»,1
297869,790e8f37b11e97fd0b88069cd4353c73,1388127,Спектакль «Жанна. Дальше будет новый день»,3
297881,790fc49e754bbe15e72871065194fb5d,207387,"Спектакль «Не жена, а дьявол!»",1
297882,790fc49e754bbe15e72871065194fb5d,226666,Спектакль «Руслан и Людмила»,1
297883,790fc49e754bbe15e72871065194fb5d,1306575,Экспозиции Стерлитамакского историко-краеведческого музея,1
