ID;Учреждение;Адрес;ИНН;Категория;Код
4606;МБУ «Краеведческий музей городского округа Сызрань»;Самарская обл, г Сызрань, пер Достоевского, д 34;6325048630.0;Музеи и галереи;63
4608;МБУК «Илекский Народный краеведческий музей»;Оренбургская обл, Илекский р-н, с Илек, ул Октябрьская, д 23А;5629020681.0;Музеи и галереи;56
4609;ГБУК г. Москвы «Централизованная библиотечная система Юго-Западного административного округа»;г Москва, ул Профсоюзная, д 115;7728812089.0;Библиотеки;77
4612;ГБУК города Москвы «Московская государственная картинная галерея народного художника СССР Ильи Глазунова»;г Москва, ул Волхонка, д 13;7704204959.0;Музеи и галереи;77
4619;ГБУК РТ «Билярский государственный историко-археологический и природный музей-заповедник»;Респ Татарстан, Алексеевский р-н, с Билярск, ул Академика Арбузова, д 2;1605001717.0;Музеи и галереи;16
4621;ГБУК «Брянский областной художественный музейно-выставочный центр»;Брянская обл, г Брянск, ул Емлютина, д 39;3250064468.0;Музеи и галереи;32
4622;ГБУК Воронежской области «Государственный археологический музей-заповедник «Костёнки»;Воронежская обл, Хохольский р-н, с Костенки, ул Кирова, д 4;3664052121.0;Музеи и галереи;36
4627;ГАУК «Мемориальный комплекс «Партизанская поляна»;Брянская обл, Брянский р-н, п Бело-Бережский санаторий турбаза, ул Лесная, д 16;3254508643.0;Музеи и галереи;32
4635;ГБУК «Литературно-художественный музей книги А.П. Чехова «Остров Сахалин»;Сахалинская обл, г Южно-Сахалинск, пр-кт Мира, д 104;6501106390.0;Музеи и галереи;65
4639;МБУК «Тольяттинский краеведческий музей»;Самарская обл, г Тольятти, б-р Ленина, д 22;6323041894.0;Музеи и галереи;63
4641;КГБНУК «Хабаровский краевой музей имени Н.И. Гродекова»;Хабаровский край, г Хабаровск, ул Шевченко, д 11;2721024668.0;Музеи и галереи;27
4644;МБУ «Краеведческий музей г. Зеи»;Амурская обл, г Зея, ул Мухина, д 247;2815006400.0;Музеи и галереи;28
4646;ГАУК ТО «Тюменское музейно-просветительское объединение»;Тюменская обл, г Тюмень, ул Советская, д 63;7203415067.0;Музеи и галереи;72
4647;МБУК «Верещагинский районный музейно-культурный центр»;Пермский край, Верещагинский р-н, г Верещагино, ул Ленина, д 20;5933181241.0;Музеи и галереи;59
4650;БУК «Вологодский государственный историко-архитектурный и художественный музей-заповедник»;Вологодская обл, г Вологда, ул Сергея Орлова, д 15;3525032150.0;Музеи и галереи;35
4651;МАУК «Ишимский музейный комплекс им. П.П. Ершова»;Тюменская обл, Ишимский р-н, г Ишим, ул Ленина, д 64;7205013846.0;Музеи и галереи;72
4652;ГУК «Саратовский областной музей краеведения»;Саратовская обл, г Саратов, ул им Лермонтова М.Ю., д 34;6450525418.0;Музеи и галереи;64
4653;ФГБУК «Государственный художественно-архитектурный дворцово-парковый музей-заповедник «Царское Село»;г Санкт-Петербург, г Пушкин, ул Садовая, д 7;7820012503.0;Музеи и галереи;78
4654;Краснодарский краевой выставочный зал изобразительных искусств;Краснодарский край, г Краснодар, ул Рашпилевская, д 32;2308064603.0;Музеи и галереи;23
4655;ГОАУК «Мурманский областной краеведческий музей»;Мурманская обл, г Мурманск, пр-кт Ленина, д 90;5190307484.0;Музеи и галереи;51
4656;БУК и ДО УР «Музейно-выставочный комплекс стрелкового оружия имени М. Т. Калашникова»;Удмуртская Респ, г Ижевск, ул Бородина, д 19;1831095941.0;Музеи и галереи;18
4658;КГАУК «Приморская государственная картинная галерея»;Приморский край, г Владивосток, ул Алеутская, д 12;2540101550.0;Музеи и галереи;25
4663;Музей «Мемориал Победы»;Красноярский край, г Красноярск, ул Дудинская, д 2А;2465066696.0;Музеи и галереи;24
4666;ГБУК ВО «Воронежский областной краеведческий музей»;Воронежская обл, г Воронеж, ул Плехановская, д 29;3664046431.0;Музеи и галереи;36
4670;МБУК «Историко-краеведческий музей»;Брянская обл, Брянский р-н, п Мичуринский, ул Выставочная, д 2;3207011205.0;Музеи и галереи;32
4671;ГБУИО «Ивановский областной художественный музей»;Ивановская обл, г Иваново, пр-кт Ленина, д 33;3702098218.0;Музеи и галереи;37
4677;БУК «Музейно-выставочный комплекс «Моя история»;Омская обл, г Омск, ул Музейная, д 3;5504046532.0;Музеи и галереи;55
4678;Стародубский краеведческий музей;Брянская обл, г Стародуб, ул Краснооктябрьская, д 36;3253502350.0;Музеи и галереи;32
4679;ГБУК РТ «Государственный музей изобразительных искусств Республики Татарстан»;Респ Татарстан, г Казань, ул Карла Маркса, д 64;1655007778.0;Музеи и галереи;16
4681;МАУ «Первомайский районный краеведческий музей»;Томская обл, Первомайский р-н, с Первомайское, ул Коммунистическая, д 8;7012005616.0;Музеи и галереи;70
4685;ФГБУК «Государственный историко-археологический музей-заповедник «Фанагория»;Краснодарский край, Темрюкский р-н, п Сенной, ул Ленина, д 7;2352050977.0;Музеи и галереи;23
4689;ОГАУК «Томский областной краеведческий музей имени Михаила Бонифатьевича Шатилова»;Томская обл, г Томск, пр-кт Ленина, д 75;7021021639.0;Музеи и галереи;70
4690;КГБУК «Государственный музей истории литературы, искусства и культуры Алтая»;Алтайский край, г Барнаул, ул Льва Толстого, д 2;2225031210.0;Музеи и галереи;22
4696;БУ «Этнографический музей под открытым небом «Торум Маа»;АО Ханты-Мансийский Автономный округ - Югра, г Ханты-Мансийск, ул Комсомольская, д 30;8601010858.0;Музеи и галереи;86
4697;МБУ «Тазовский районный краеведческий музей»;Ямало-Ненецкий ао, Тазовский р-н, п Тазовский, ул Почтовая, д 31;8910005213.0;Музеи и галереи;89
4701;БУ «Музей изобразительных искусств Республики Карелия»;Респ Карелия, г Петрозаводск, пр-кт Карла Маркса, д 8;1001041308.0;Музеи и галереи;10
4703;ГБУ РК «Национальная галерея Республики Коми»;Респ Коми, г Сыктывкар, ул Кирова, д 44;1101485392.0;Музеи и галереи;11
4706;КГБУК «Красноярский краевой краеведческий музей»;Красноярский край, г Красноярск, ул Дубровинского, д 84;2466052262.0;Музеи и галереи;24
4707;ГБУ «Национальный художественный музей Республики Саха»;Респ Саха /Якутия/, г Якутск, ул Кирова, д 9;1435031905.0;Музеи и галереи;14
4708;ГБУК СК «Ессентукский историко-краеведческий музей им. В. П. Шпаковского»;Ставропольский край, г Ессентуки, ул Кисловодская, д 5;2626026601.0;Музеи и галереи;26
4711;ГБУК РО «Ростовский областной музей краеведения»;Ростовская обл, г Ростов-на-Дону, ул Большая Садовая, д 79;6163014716.0;Музеи и галереи;61
4715;Сергиево-Посадский государственный историко-художественный музей-заповедник;Московская обл, Сергиево-Посадский р-н, г Сергиев Посад, пр-кт Красной Армии, д 144;5042013459.0;Музеи и галереи;50
4716;ГАУК «Государственный мемориальный музыкальный музей-заповедник П.И.Чайковского»;Московская обл, Клинский р-н, г Клин, ул Чайковского, д 48;5020005207.0;Музеи и галереи;50
4721;ГБУК Владимирской области «Центр пропаганды изобразительного искусства»;Владимирская обл, г Владимир, ул Большая Московская, д 24;3329021539.0;Музеи и галереи;33
4722;ФГБУК «Государственный музей-усадьба «Архангельское»;Московская обл, Красногорский р-н, п Архангельское;5024030187.0;Музеи и галереи;50
4742;АУ «Центр культуры и досуга Юргинского муниципального района»;Тюменская обл, Юргинский р-н, с Юргинское, ул Ленина, д 70;7227262243.0;Дворцы культуры и клубы;72
4743;БУК УР «Удмуртский республиканский музей изобразительных искусств»;Удмуртская Респ, г Ижевск, ул Кирова, д 128;1831039802.0;Музеи и галереи;18
4747;ГБУК «Музей Чеченской Республики»;Чеченская Респ, г Грозный, пр-кт им В.В.Путина, д 1Б;2013000178.0;Музеи и галереи;95
4751;ГБУК г. Москвы «МВЦ «Солянка МСК»;г Москва, ул Солянка, д 1/2;7709050445.0;Музеи и галереи;77
4757;КГБУ «Алтайский государственный краеведческий музей»;Алтайский край, г Барнаул, ул Ползунова, д 46;2225032647.0;Музеи и галереи;22
